客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,是否使用优惠码,历史购买次数,支付方式,购买频率
28,56,男,短裤,服装,56,Kentucky,L,青色,夏,5.0,是,次日达,是,Yes,7,银行转账,每三个月
29,54,男,手提包,配饰,94,North Carolina,M,灰色,秋,4.4,是,包邮,是,Yes,41,PayPal,每三个月
30,31,男,连衣裙,服装,48,Wyoming,S,黑色,秋,4.1,是,门店自提,是,Yes,14,信用卡,每周
31,57,男,首饰,配饰,31,North Carolina,L,黑色,冬,4.7,是,标准快递,是,Yes,16,信用卡,每月
32,33,男,连衣裙,服装,79,West Virginia,L,棕色,冬,4.7,是,门店自提,是,Yes,45,Venmo,每月
33,36,男,夹克,外套,67,Kansas,M,银色,夏,4.9,是,包邮,是,Yes,37,Venmo,每年
34,54,男,长裤,服装,38,Colorado,L,绿色,夏,3.3,是,门店自提,是,Yes,45,现金,每季
35,36,男,T恤,服装,91,North Dakota,L,紫罗兰色,春,4.6,是,两日达,是,Yes,38,PayPal,每季
36,54,男,女式衬衫,服装,33,Massachusetts,M,青色,夏,4.0,是,两日达,是,Yes,48,信用卡,双周
37,35,男,T恤,服装,69,Illinois,M,栗色,冬,4.6,是,包邮,是,Yes,44,PayPal,每两周
38,35,男,牛仔裤,服装,45,Indiana,S,青色,夏,2.8,是,门店自提,是,Yes,10,PayPal,每周
39,29,男,连衣裙,服装,37,Florida,M,红色,冬,,是,两日达,是,Yes,44,Venmo,每三个月
40,70,男,长裤,服装,60,Arizona,S,绿松石色,夏,4.2,是,快递,是,Yes,18,信用卡,每月
41,69,男,手提包,配饰,76,Louisiana,L,米色,冬,4.6,是,次日达,是,Yes,31,借记卡,每季
42,67,男,围巾,配饰,39,Alaska,M,橙色,春,4.5,是,标准快递,是,Yes,40,Venmo,每年
43,20,男,大衣,外套,100,Tennessee,M,米色,春,4.1,是,包邮,是,Yes,15,PayPal,每年
44,25,男,围巾,配饰,69,Ohio,L,薰衣草紫,秋,3.7,是,门店自提,是,Yes,19,PayPal,每两周
45,39,男,帽子,配饰,53,Kentucky,S,银色,夏,4.6,是,包邮,是,Yes,45,PayPal,每周
46,50,男,袜子,服装,21,Tennessee,XL,靛蓝色,秋,2.9,是,两日达,是,Yes,25,PayPal,每年
47,57,男,衬衫,服装,43,California,L,白色,夏,2.9,是,门店自提,是,Yes,45,现金,每季
48,55,男,首饰,配饰,54,Montana,M,炭灰色,冬,4.5,是,包邮,是,Yes,36,现金,每周
49,42,男,衬衫,服装,55,Nevada,M,橙色,夏,2.7,是,门店自提,是,Yes,38,现金,每月
50,68,男,卫衣,服装,30,New Jersey,S,靛蓝色,春,4.6,是,次日达,是,Yes,34,借记卡,双周
51,49,男,女式衬衫,服装,28,Maryland,M,红色,春,,是,门店自提,是,Yes,39,借记卡,双周
52,59,男,半身裙,服装,59,Vermont,XL,灰色,冬,4.7,是,两日达,是,Yes,7,信用卡,每季
53,42,男,T恤,服装,20,Alaska,M,绿色,夏,2.6,是,包邮,是,Yes,26,信用卡,每周
54,29,男,半身裙,服装,24,Mississippi,S,桃色,冬,3.9,是,次日达,是,Yes,35,信用卡,每周
55,47,男,大衣,外套,94,New Mexico,M,棕色,夏,4.2,是,次日达,是,Yes,35,借记卡,双周
56,40,男,夹克,外套,28,South Carolina,M,薰衣草紫,冬,3.0,是,两日达,是,Yes,49,信用卡,每年
57,41,男,双肩包,配饰,73,Mississippi,XL,棕色,夏,4.7,是,门店自提,是,Yes,46,信用卡,每周
58,21,男,大衣,外套,64,West Virginia,M,白色,夏,4.4,是,门店自提,是,Yes,17,借记卡,每两周
59,69,男,卫衣,服装,54,Missouri,M,炭灰色,夏,4.2,是,包邮,是,Yes,29,Venmo,每月
60,63,男,腰带,配饰,79,Louisiana,L,黄色,春,4.6,是,标准快递,是,Yes,4,借记卡,每周
61,50,男,毛衣,服装,37,Idaho,L,棕色,夏,4.0,是,快递,是,Yes,17,现金,每周
62,55,男,围巾,配饰,68,Texas,M,橙色,冬,4.7,是,门店自提,是,Yes,21,信用卡,每三个月
63,30,男,运动鞋,鞋履,21,Mississippi,S,品红色,春,3.8,是,包邮,是,Yes,31,信用卡,每两周
64,33,男,太阳镜,配饰,79,Arizona,L,薰衣草紫,冬,2.7,是,两日达,是,Yes,43,信用卡,每周
65,65,男,靴子,鞋履,83,Alabama,S,绿色,秋,4.8,是,标准快递,是,Yes,18,借记卡,每两周
66,65,男,双肩包,配饰,36,New Jersey,M,紫色,春,4.8,是,两日达,是,Yes,44,Venmo,每三个月
67,31,男,女式衬衫,服装,94,Pennsylvania,S,品红色,冬,4.7,是,两日达,是,Yes,3,Venmo,每三个月
68,45,男,大衣,外套,33,Connecticut,L,灰色,冬,4.4,是,门店自提,是,Yes,49,借记卡,每月
69,57,男,手提包,配饰,46,Utah,L,银色,夏,3.9,是,次日达,是,Yes,21,现金,每三个月
70,48,男,腰带,配饰,70,Tennessee,S,青色,夏,4.4,是,快递,是,Yes,5,现金,每周
71,22,男,腰带,配饰,29,Alabama,M,品红色,秋,4.2,是,快递,是,Yes,32,借记卡,每三个月
72,36,男,连衣裙,服装,48,Virginia,L,金色,夏,2.9,是,快递,是,Yes,34,银行转账,每年
73,18,男,连衣裙,服装,26,Georgia,M,橄榄绿,冬,2.9,是,门店自提,是,Yes,21,银行转账,每三个月
74,48,男,长裤,服装,85,Hawaii,M,青绿色,春,2.7,是,包邮,是,Yes,43,银行转账,双周
75,49,男,手套,配饰,58,Indiana,L,紫罗兰色,春,4.5,是,快递,是,Yes,3,现金,每月
76,64,男,围巾,配饰,85,Utah,M,蓝色,夏,2.7,是,包邮,是,Yes,21,信用卡,每年
77,50,男,帽子,配饰,43,Delaware,S,青绿色,夏,4.2,是,包邮,是,Yes,32,Venmo,每月
78,22,男,连衣裙,服装,53,Delaware,L,金色,夏,3.3,是,次日达,是,Yes,36,借记卡,每两周
79,50,男,半身裙,服装,91,Nebraska,M,栗色,春,4.7,是,包邮,是,Yes,50,Venmo,每两周
80,38,男,夹克,外套,96,Iowa,M,橄榄绿,冬,2.6,是,两日达,是,Yes,43,银行转账,每三个月
81,19,男,凉鞋,鞋履,72,New York,XL,蓝色,夏,,是,门店自提,是,Yes,24,信用卡,每三个月
82,67,男,鞋子,鞋履,96,Virginia,L,栗色,夏,2.6,是,快递,是,Yes,36,信用卡,每三个月
83,19,男,长裤,服装,28,Georgia,S,橄榄绿,春,4.0,是,两日达,是,Yes,21,信用卡,每三个月
84,36,男,连衣裙,服装,40,Texas,M,绿松石色,夏,4.1,是,标准快递,是,Yes,34,银行转账,每周
85,52,男,大衣,外套,32,Arizona,S,桃色,春,4.4,是,标准快递,是,Yes,42,银行转账,每三个月
86,53,男,太阳镜,配饰,95,New Mexico,M,炭灰色,冬,4.5,是,次日达,是,Yes,2,借记卡,双周
87,24,男,卫衣,服装,41,Nevada,L,粉色,春,3.7,是,两日达,是,Yes,47,现金,双周
88,52,男,鞋子,鞋履,53,Ohio,M,绿色,秋,3.7,是,两日达,是,Yes,44,借记卡,每两周
89,33,男,T恤,服装,47,Wyoming,M,橙色,秋,3.5,是,包邮,是,Yes,35,信用卡,每月
90,47,男,夹克,外套,83,California,XL,粉色,秋,3.6,是,次日达,是,Yes,15,现金,每季
91,25,男,帽子,配饰,48,South Carolina,L,紫罗兰色,夏,2.9,是,快递,是,Yes,29,信用卡,每月
92,44,男,围巾,配饰,99,South Carolina,S,绿色,冬,4.6,是,标准快递,是,Yes,18,信用卡,每三个月
93,61,男,夹克,外套,87,Texas,M,橄榄绿,冬,4.4,是,两日达,是,Yes,13,Venmo,每三个月
94,37,男,毛衣,服装,62,Florida,M,紫色,秋,4.5,是,标准快递,是,Yes,46,信用卡,每周
95,58,男,半身裙,服装,76,Nevada,S,银色,春,4.6,是,包邮,是,Yes,28,信用卡,每周
96,37,男,运动鞋,鞋履,100,Missouri,L,粉色,秋,3.8,是,包邮,是,Yes,48,PayPal,每月
97,32,男,手套,配饰,73,Delaware,S,金色,春,,是,快递,是,Yes,43,Venmo,每三个月
98,21,男,鞋子,鞋履,92,Virginia,M,青绿色,冬,4.8,是,门店自提,是,Yes,37,现金,每年
99,20,男,牛仔裤,服装,67,New York,XL,青绿色,春,2.6,是,次日达,是,Yes,20,银行转账,每年
100,26,男,卫衣,服装,40,Missouri,XL,靛蓝色,夏,3.7,是,快递,是,Yes,33,借记卡,每季
101,62,男,太阳镜,配饰,98,South Dakota,M,栗色,秋,2.7,是,快递,是,Yes,31,现金,每两周
102,27,男,大衣,外套,85,North Dakota,XL,白色,春,4.6,是,快递,是,Yes,50,信用卡,双周
103,51,男,袜子,服装,67,Oklahoma,L,紫罗兰色,冬,4.8,是,次日达,是,Yes,35,信用卡,每季
104,54,男,靴子,鞋履,89,West Virginia,L,红色,冬,4.0,是,次日达,是,Yes,22,Venmo,双周
105,55,男,太阳镜,配饰,24,New Hampshire,L,粉色,春,4.4,是,两日达,是,Yes,1,PayPal,每月
106,69,男,双肩包,配饰,96,New York,M,炭灰色,秋,3.6,是,次日达,是,Yes,4,银行转账,每年
107,64,男,夹克,外套,35,Minnesota,L,白色,夏,3.7,是,标准快递,是,Yes,31,信用卡,每月
108,28,男,运动鞋,鞋履,67,Maryland,L,橄榄绿,冬,3.1,是,次日达,是,Yes,46,PayPal,每两周
109,70,男,袜子,服装,79,Montana,L,紫色,春,3.4,是,次日达,是,Yes,32,银行转账,双周
110,58,男,T恤,服装,85,Alabama,M,紫罗兰色,春,2.6,是,次日达,是,Yes,43,银行转账,每两周
111,56,男,双肩包,配饰,26,New York,M,黑色,夏,4.0,是,标准快递,是,Yes,26,Venmo,每两周
112,26,男,腰带,配饰,75,Massachusetts,L,紫色,夏,5.0,是,包邮,是,Yes,9,信用卡,每年
113,37,男,手套,配饰,65,Florida,M,红色,春,4.3,是,包邮,是,Yes,28,PayPal,双周
114,44,男,帽子,配饰,54,New Jersey,L,栗色,冬,3.1,是,次日达,是,Yes,20,PayPal,每季
115,70,男,大衣,外套,95,Massachusetts,S,蓝色,夏,3.7,是,门店自提,是,Yes,9,现金,每周
116,53,男,半身裙,服装,94,Wyoming,M,灰色,春,3.8,是,标准快递,是,Yes,48,借记卡,每三个月
117,55,男,鞋子,鞋履,86,Virginia,S,蓝色,春,3.4,是,包邮,是,Yes,12,Venmo,每年
118,50,男,凉鞋,鞋履,32,South Dakota,L,黄色,夏,4.6,是,快递,是,Yes,29,现金,每两周
119,50,男,毛衣,服装,45,Kentucky,L,橙色,秋,4.8,是,两日达,是,Yes,27,现金,双周
120,38,男,大衣,外套,76,Wyoming,M,橙色,秋,4.3,是,快递,是,Yes,44,现金,每年
121,64,男,帽子,配饰,84,West Virginia,L,红色,夏,4.0,是,快递,是,Yes,32,银行转账,每年
122,19,男,短裤,服装,72,Virginia,M,橄榄绿,冬,4.2,是,标准快递,是,Yes,11,现金,每两周
123,40,男,双肩包,配饰,40,Washington,L,棕色,春,4.8,是,两日达,是,Yes,44,现金,每两周
124,57,男,毛衣,服装,89,Louisiana,L,棕色,秋,3.1,是,包邮,是,Yes,46,现金,每周
125,44,男,毛衣,服装,86,Nevada,M,灰色,春,3.1,是,次日达,是,Yes,50,PayPal,每年
126,49,男,短裤,服装,54,California,M,靛蓝色,冬,3.6,是,次日达,是,Yes,45,Venmo,每三个月
127,43,男,短裤,服装,36,Mississippi,L,粉色,春,3.9,是,门店自提,是,Yes,48,现金,每三个月
128,24,男,毛衣,服装,89,Mississippi,M,灰色,冬,4.8,是,次日达,是,Yes,26,信用卡,每周
129,20,男,围巾,配饰,32,California,M,金色,春,4.7,是,标准快递,是,Yes,21,信用卡,每两周
130,24,男,连衣裙,服装,67,Pennsylvania,XL,橄榄绿,夏,4.2,是,两日达,是,Yes,49,PayPal,双周
131,44,男,围巾,配饰,39,Kentucky,L,紫罗兰色,秋,3.7,是,次日达,是,Yes,13,PayPal,每两周
132,28,男,半身裙,服装,29,Maine,L,靛蓝色,夏,3.9,是,标准快递,是,Yes,46,信用卡,每周
133,30,男,双肩包,配饰,58,New Mexico,M,橙色,秋,4.7,是,两日达,是,Yes,42,PayPal,每周
134,52,男,毛衣,服装,65,Montana,M,紫罗兰色,冬,2.5,是,次日达,是,Yes,25,Venmo,每年
135,43,男,帽子,配饰,94,Texas,L,灰色,秋,4.9,是,门店自提,是,Yes,25,现金,每月
136,43,男,凉鞋,鞋履,81,Kansas,M,紫色,秋,4.1,是,快递,是,Yes,12,PayPal,每季
137,39,男,女式衬衫,服装,86,South Carolina,M,白色,冬,3.3,是,包邮,是,Yes,4,借记卡,每季
138,68,男,运动鞋,鞋履,43,Colorado,M,绿松石色,春,4.7,是,包邮,是,Yes,38,PayPal,每周
139,68,男,半身裙,服装,29,Georgia,M,栗色,冬,4.4,是,门店自提,是,Yes,42,银行转账,每周
140,49,男,大衣,外套,95,Florida,M,白色,秋,3.8,是,门店自提,是,Yes,30,Venmo,每年
141,63,男,衬衫,服装,28,North Carolina,L,黄色,秋,3.9,是,两日达,是,Yes,50,信用卡,每周
142,56,男,手套,配饰,46,Virginia,M,绿松石色,秋,4.9,是,包邮,是,Yes,45,PayPal,每周
143,37,男,夹克,外套,58,Nebraska,L,紫罗兰色,秋,3.1,是,包邮,是,Yes,33,信用卡,每两周
144,30,男,大衣,外套,48,Missouri,M,米色,秋,2.7,是,门店自提,是,Yes,25,PayPal,每季
145,19,男,鞋子,鞋履,43,New Jersey,M,银色,秋,3.2,是,快递,是,Yes,25,现金,每月
146,24,男,首饰,配饰,95,Missouri,M,青绿色,秋,4.5,是,标准快递,是,Yes,44,借记卡,每季
147,52,男,半身裙,服装,30,Colorado,S,黑色,秋,4.0,是,标准快递,是,Yes,21,Venmo,每两周
148,63,男,鞋子,鞋履,64,Idaho,M,紫色,夏,3.5,是,两日达,是,Yes,31,银行转账,每两周
149,37,男,手套,配饰,90,Wyoming,M,灰色,秋,2.6,是,门店自提,是,Yes,47,借记卡,每年
150,38,男,长裤,服装,76,Delaware,M,白色,夏,3.2,是,包邮,是,Yes,14,PayPal,每月
151,35,男,靴子,鞋履,96,California,L,青色,秋,4.9,是,标准快递,是,Yes,17,借记卡,每三个月
152,28,男,太阳镜,配饰,47,North Dakota,L,绿松石色,秋,4.5,是,次日达,是,Yes,3,Venmo,每年
153,30,男,衬衫,服装,85,South Carolina,S,棕色,夏,4.3,是,快递,是,Yes,42,Venmo,每年
154,69,男,卫衣,服装,55,North Carolina,M,栗色,冬,3.2,是,标准快递,是,Yes,22,借记卡,每年
155,41,男,连衣裙,服装,98,Oklahoma,M,炭灰色,秋,3.6,是,次日达,是,Yes,21,Venmo,每季
156,63,男,袜子,服装,77,Maine,S,橄榄绿,春,4.3,是,包邮,是,Yes,21,银行转账,每季
157,35,男,短裤,服装,26,Missouri,M,薰衣草紫,秋,4.0,是,标准快递,是,Yes,40,借记卡,每年
158,36,男,帽子,配饰,68,Vermont,S,黄色,秋,3.0,是,次日达,是,Yes,1,银行转账,每两周
159,25,男,衬衫,服装,73,Connecticut,XL,青绿色,秋,4.1,是,标准快递,是,Yes,50,银行转账,每月
160,58,男,手套,配饰,27,New Hampshire,M,炭灰色,秋,3.8,是,门店自提,是,Yes,39,银行转账,每三个月
161,27,男,手套,配饰,23,Texas,M,橙色,夏,4.6,是,包邮,是,Yes,34,Venmo,每月
162,65,男,双肩包,配饰,49,North Dakota,M,橄榄绿,秋,3.0,是,快递,是,Yes,29,Venmo,每两周
163,54,男,太阳镜,配饰,74,California,M,绿松石色,夏,3.0,是,门店自提,是,Yes,31,PayPal,双周
164,54,男,半身裙,服装,67,Virginia,M,紫色,夏,3.4,是,标准快递,是,Yes,8,借记卡,每周
165,59,男,手提包,配饰,65,Delaware,S,紫色,春,2.6,是,包邮,是,Yes,5,信用卡,每两周
166,42,男,手提包,配饰,60,Kentucky,S,黄色,冬,2.8,是,门店自提,是,Yes,7,现金,每月
167,46,男,运动鞋,鞋履,31,Delaware,XL,靛蓝色,秋,4.0,是,门店自提,是,Yes,30,现金,每月
168,33,男,手套,配饰,27,Arkansas,M,绿色,秋,4.0,是,快递,是,Yes,14,信用卡,每三个月
169,34,男,鞋子,鞋履,80,Louisiana,M,品红色,夏,3.0,是,快递,是,Yes,5,现金,每两周
170,27,男,夹克,外套,30,Nevada,S,金色,夏,3.3,是,标准快递,是,Yes,3,PayPal,每三个月
171,52,男,衬衫,服装,25,Wyoming,M,栗色,秋,2.6,是,门店自提,是,Yes,46,Venmo,双周
172,29,男,短裤,服装,35,Virginia,M,蓝色,夏,3.6,是,门店自提,是,Yes,4,信用卡,每周
173,54,男,首饰,配饰,67,Nebraska,M,紫罗兰色,夏,3.9,是,次日达,是,Yes,42,信用卡,双周
174,25,男,帽子,配饰,46,Hawaii,M,绿松石色,秋,3.4,是,标准快递,是,Yes,30,现金,每年
175,41,男,鞋子,鞋履,35,Vermont,L,棕色,冬,3.5,是,快递,是,Yes,37,Venmo,每年
176,53,男,大衣,外套,86,Oklahoma,L,紫罗兰色,秋,2.8,是,次日达,是,Yes,2,银行转账,每年
177,53,男,双肩包,配饰,81,New Hampshire,L,黑色,春,2.7,是,次日达,是,Yes,30,信用卡,每季
178,21,男,卫衣,服装,42,Kansas,L,品红色,秋,3.7,是,次日达,是,Yes,47,银行转账,每月
179,61,男,半身裙,服装,43,Idaho,L,薰衣草紫,秋,4.3,是,两日达,是,Yes,21,PayPal,每季
180,64,男,靴子,鞋履,31,Illinois,M,紫罗兰色,秋,4.9,是,门店自提,是,Yes,9,银行转账,每两周
181,51,男,凉鞋,鞋履,81,South Dakota,L,绿色,秋,3.3,是,门店自提,是,Yes,12,借记卡,每两周
182,32,男,长裤,服装,61,Massachusetts,M,米色,夏,4.7,是,次日达,是,Yes,4,银行转账,每周
183,38,男,手套,配饰,96,Alabama,XL,紫色,夏,2.8,是,门店自提,是,Yes,10,借记卡,每年
184,58,男,半身裙,服装,29,Ohio,XL,米色,春,3.6,是,两日达,是,Yes,26,信用卡,每周
185,32,男,运动鞋,鞋履,33,Hawaii,L,青色,春,3.0,是,快递,是,Yes,40,现金,每两周
186,46,男,T恤,服装,32,Wisconsin,XL,银色,夏,4.5,是,门店自提,是,Yes,34,银行转账,每两周
187,39,男,双肩包,配饰,56,Minnesota,S,薰衣草紫,夏,2.9,是,标准快递,是,Yes,31,借记卡,每年
188,19,男,鞋子,鞋履,94,Georgia,S,紫色,春,3.3,是,门店自提,是,Yes,1,银行转账,双周
189,50,男,卫衣,服装,53,Arkansas,M,粉色,春,3.1,是,快递,是,Yes,5,银行转账,双周
190,36,男,女式衬衫,服装,82,West Virginia,M,栗色,秋,4.4,是,次日达,是,Yes,4,信用卡,每周
191,65,男,大衣,外套,70,Indiana,XL,米色,秋,3.0,是,包邮,是,Yes,48,Venmo,每季
192,64,男,帽子,配饰,76,Utah,M,灰色,秋,3.9,是,包邮,是,Yes,29,现金,每三个月
193,46,男,鞋子,鞋履,29,Nebraska,L,绿松石色,夏,2.9,是,快递,是,Yes,12,PayPal,双周
194,36,男,腰带,配饰,100,North Dakota,S,银色,秋,3.0,是,标准快递,是,Yes,29,Venmo,每年
195,51,男,双肩包,配饰,94,Missouri,M,橄榄绿,春,3.1,是,快递,是,Yes,15,借记卡,每季
196,51,男,夹克,外套,25,New York,M,品红色,秋,4.3,是,包邮,是,Yes,34,信用卡,每月
197,38,男,靴子,鞋履,88,Washington,M,薰衣草紫,夏,3.9,是,次日达,是,Yes,41,信用卡,每两周
198,59,男,围巾,配饰,78,South Carolina,M,黑色,秋,3.2,是,两日达,是,Yes,41,信用卡,每月
199,57,男,首饰,配饰,45,Utah,M,绿松石色,冬,4.8,是,标准快递,是,Yes,39,信用卡,每两周
200,54,男,帽子,配饰,73,Idaho,XL,绿色,夏,3.8,是,快递,是,Yes,32,现金,每周
201,25,男,连衣裙,服装,61,Pennsylvania,S,青绿色,夏,3.3,是,次日达,是,Yes,29,Venmo,每月
202,69,男,女式衬衫,服装,22,Missouri,S,米色,秋,4.3,是,包邮,是,Yes,15,银行转账,每年
203,57,男,帽子,配饰,38,Nebraska,L,品红色,春,2.7,是,快递,是,Yes,33,Venmo,每年
204,70,男,围巾,配饰,38,Indiana,S,黄色,秋,3.2,是,次日达,是,Yes,18,银行转账,每周
205,24,男,运动鞋,鞋履,100,Arizona,M,黄色,秋,4.0,是,门店自提,是,Yes,35,现金,双周
206,67,男,衬衫,服装,64,Hawaii,M,银色,冬,3.0,是,标准快递,是,Yes,25,PayPal,每周
207,24,男,T恤,服装,55,Wisconsin,L,银色,夏,4.2,是,包邮,是,Yes,6,Venmo,每两周
208,62,男,手套,配饰,91,Rhode Island,M,银色,夏,2.9,是,快递,是,Yes,17,银行转账,双周
209,57,男,半身裙,服装,38,Wisconsin,M,金色,春,4.1,是,门店自提,是,Yes,17,信用卡,每月
210,55,男,凉鞋,鞋履,97,Minnesota,S,橄榄绿,冬,3.2,是,门店自提,是,Yes,44,现金,每三个月
211,45,男,夹克,外套,22,Vermont,L,青绿色,秋,3.0,是,两日达,是,Yes,6,PayPal,每两周
212,69,男,半身裙,服装,92,South Dakota,L,栗色,秋,4.2,是,两日达,是,Yes,45,借记卡,每两周
213,67,男,手提包,配饰,84,Virginia,L,蓝色,秋,4.2,是,快递,是,Yes,7,借记卡,每年
214,30,男,手提包,配饰,93,Nevada,L,桃色,秋,4.4,是,门店自提,是,Yes,11,借记卡,每三个月
215,24,男,夹克,外套,50,Hawaii,L,蓝色,夏,4.2,是,次日达,是,Yes,41,现金,每三个月
216,62,男,围巾,配饰,64,New Jersey,S,橙色,春,2.8,是,两日达,是,Yes,24,PayPal,双周
217,43,男,短裤,服装,61,Massachusetts,L,黄色,春,3.7,是,包邮,是,Yes,21,Venmo,每周
218,35,男,太阳镜,配饰,48,Oklahoma,M,紫色,冬,3.5,是,次日达,是,Yes,24,银行转账,每年
219,28,男,T恤,服装,45,California,S,品红色,春,2.9,是,门店自提,是,Yes,8,信用卡,每季
220,32,男,腰带,配饰,88,Nevada,M,青色,春,3.0,是,包邮,是,Yes,12,现金,每两周
221,39,男,运动鞋,鞋履,57,Arizona,S,靛蓝色,春,3.7,是,快递,是,Yes,48,借记卡,每两周
222,28,男,帽子,配饰,68,North Carolina,XL,品红色,夏,4.4,是,门店自提,是,Yes,6,银行转账,每季
223,47,男,手套,配饰,94,New York,XL,灰色,春,4.5,是,两日达,是,Yes,14,PayPal,每两周
224,20,男,长裤,服装,41,Wyoming,M,绿松石色,春,4.8,是,包邮,是,Yes,34,PayPal,每年
225,63,男,袜子,服装,83,South Dakota,S,米色,夏,2.9,是,包邮,是,Yes,12,现金,每三个月
226,25,男,夹克,外套,22,Arkansas,M,橄榄绿,春,3.2,是,次日达,是,Yes,11,银行转账,每年
227,29,男,鞋子,鞋履,74,Texas,L,紫罗兰色,春,3.3,是,包邮,是,Yes,5,PayPal,每月
228,50,男,牛仔裤,服装,90,Rhode Island,M,绿松石色,冬,4.2,是,标准快递,是,Yes,25,Venmo,每两周
229,18,男,袜子,服装,79,New Hampshire,M,白色,春,2.9,是,门店自提,是,Yes,11,信用卡,每年
230,70,男,凉鞋,鞋履,28,Ohio,S,银色,春,4.6,是,次日达,是,Yes,27,PayPal,每三个月
231,66,男,围巾,配饰,88,Utah,L,橄榄绿,秋,4.1,是,标准快递,是,Yes,43,信用卡,每年
232,28,男,女式衬衫,服装,26,Tennessee,M,蓝色,春,3.1,是,两日达,是,Yes,18,借记卡,每三个月
233,54,男,首饰,配饰,27,Hawaii,L,紫色,冬,4.2,是,快递,是,Yes,32,银行转账,双周
234,19,男,毛衣,服装,83,Arizona,XL,黄色,秋,4.5,是,次日达,是,Yes,27,银行转账,每三个月
235,20,男,手套,配饰,39,South Dakota,S,银色,夏,3.7,是,次日达,是,Yes,24,信用卡,每周
236,43,男,太阳镜,配饰,89,New Jersey,M,青色,冬,3.7,是,包邮,是,Yes,31,借记卡,每季
237,38,男,大衣,外套,68,North Dakota,L,绿色,冬,3.4,是,次日达,是,Yes,39,PayPal,每两周
238,50,男,连衣裙,服装,90,Iowa,M,米色,夏,3.0,是,门店自提,是,Yes,36,借记卡,每两周
239,64,男,半身裙,服装,34,Ohio,M,桃色,秋,4.2,是,包邮,是,Yes,5,现金,每年
240,49,男,长裤,服装,51,Vermont,L,黄色,夏,2.9,是,快递,是,Yes,47,信用卡,双周
