客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,历史购买次数,支付方式,购买频率,年龄段,购买频率天数,客户类型
16,64,男,半身裙,服装,81,Rhode Island,M,青绿色,冬,2.8,是,门店自提,是,8,PayPal,每月,老年,30,回头客
17,25,男,太阳镜,配饰,36,Alabama,S,灰色,春,4.1,是,次日达,是,44,借记卡,双周,青年,14,忠实客户
18,53,男,连衣裙,服装,38,Mississippi,XL,薰衣草紫,冬,4.7,是,两日达,是,36,Venmo,每季,中年,90,忠实客户
19,52,男,毛衣,服装,48,Montana,S,黑色,夏,4.6,是,包邮,是,17,现金,每周,中年,7,忠实客户
20,66,男,长裤,服装,90,Rhode Island,M,绿色,夏,3.3,是,标准快递,是,46,借记卡,双周,老年,14,忠实客户
21,21,男,长裤,服装,51,Louisiana,M,黑色,冬,2.8,是,快递,是,50,现金,每三个月,青年,90,忠实客户
22,31,男,长裤,服装,62,North Carolina,M,炭灰色,冬,4.1,是,门店自提,是,22,借记卡,每季,青年,90,忠实客户
23,56,男,长裤,服装,37,California,M,桃色,夏,3.2,是,门店自提,是,32,借记卡,每年,中年,365,忠实客户
24,31,男,长裤,服装,88,Oklahoma,XL,白色,冬,4.4,是,快递,是,40,信用卡,每周,青年,7,忠实客户
25,18,男,夹克,外套,22,Florida,M,绿色,秋,2.9,是,门店自提,是,16,借记卡,每周,青年,7,忠实客户
26,18,男,卫衣,服装,25,Texas,M,银色,夏,3.6,是,快递,是,14,PayPal,每年,青年,365,忠实客户
27,38,男,首饰,配饰,20,Nevada,M,红色,春,3.6,是,次日达,是,13,信用卡,每年,成年,365,忠实客户
28,56,男,短裤,服装,56,Kentucky,L,青色,夏,5.0,是,次日达,是,7,银行转账,每三个月,中年,90,回头客
29,54,男,手提包,配饰,94,North Carolina,M,灰色,秋,4.4,是,包邮,是,41,PayPal,每三个月,中年,90,忠实客户
30,31,男,连衣裙,服装,48,Wyoming,S,黑色,秋,4.1,是,门店自提,是,14,信用卡,每周,青年,7,忠实客户
31,57,男,首饰,配饰,31,North Carolina,L,黑色,冬,4.7,是,标准快递,是,16,信用卡,每月,中年,30,忠实客户
32,33,男,连衣裙,服装,79,West Virginia,L,棕色,冬,4.7,是,门店自提,是,45,Venmo,每月,成年,30,忠实客户
33,36,男,夹克,外套,67,Kansas,M,银色,夏,4.9,是,包邮,是,37,Venmo,每年,成年,365,忠实客户
34,54,男,长裤,服装,38,Colorado,L,绿色,夏,3.3,是,门店自提,是,45,现金,每季,中年,90,忠实客户
35,36,男,T恤,服装,91,North Dakota,L,紫罗兰色,春,4.6,是,两日达,是,38,PayPal,每季,成年,90,忠实客户
36,54,男,女式衬衫,服装,33,Massachusetts,M,青色,夏,4.0,是,两日达,是,48,信用卡,双周,中年,14,忠实客户
37,35,男,T恤,服装,69,Illinois,M,栗色,冬,4.6,是,包邮,是,44,PayPal,每两周,成年,14,忠实客户
38,35,男,牛仔裤,服装,45,Indiana,S,青色,夏,2.8,是,门店自提,是,10,PayPal,每周,成年,7,回头客
39,29,男,连衣裙,服装,37,Florida,M,红色,冬,3.7,是,两日达,是,44,Venmo,每三个月,青年,90,忠实客户
40,70,男,长裤,服装,60,Arizona,S,绿松石色,夏,4.2,是,快递,是,18,信用卡,每月,老年,30,忠实客户
41,69,男,手提包,配饰,76,Louisiana,L,米色,冬,4.6,是,次日达,是,31,借记卡,每季,老年,90,忠实客户
42,67,男,围巾,配饰,39,Alaska,M,橙色,春,4.5,是,标准快递,是,40,Venmo,每年,老年,365,忠实客户
43,20,男,大衣,外套,100,Tennessee,M,米色,春,4.1,是,包邮,是,15,PayPal,每年,青年,365,忠实客户
44,25,男,围巾,配饰,69,Ohio,L,薰衣草紫,秋,3.7,是,门店自提,是,19,PayPal,每两周,青年,14,忠实客户
45,39,男,帽子,配饰,53,Kentucky,S,银色,夏,4.6,是,包邮,是,45,PayPal,每周,成年,7,忠实客户
46,50,男,袜子,服装,21,Tennessee,XL,靛蓝色,秋,2.9,是,两日达,是,25,PayPal,每年,中年,365,忠实客户
47,57,男,衬衫,服装,43,California,L,白色,夏,2.9,是,门店自提,是,45,现金,每季,中年,90,忠实客户
48,55,男,首饰,配饰,54,Montana,M,炭灰色,冬,4.5,是,包邮,是,36,现金,每周,中年,7,忠实客户
49,42,男,衬衫,服装,55,Nevada,M,橙色,夏,2.7,是,门店自提,是,38,现金,每月,成年,30,忠实客户
50,68,男,卫衣,服装,30,New Jersey,S,靛蓝色,春,4.6,是,次日达,是,34,借记卡,双周,老年,14,忠实客户
51,49,男,女式衬衫,服装,28,Maryland,M,红色,春,3.7,是,门店自提,是,39,借记卡,双周,中年,14,忠实客户
52,59,男,半身裙,服装,59,Vermont,XL,灰色,冬,4.7,是,两日达,是,7,信用卡,每季,老年,90,回头客
53,42,男,T恤,服装,20,Alaska,M,绿色,夏,2.6,是,包邮,是,26,信用卡,每周,成年,7,忠实客户
54,29,男,半身裙,服装,24,Mississippi,S,桃色,冬,3.9,是,次日达,是,35,信用卡,每周,青年,7,忠实客户
55,47,男,大衣,外套,94,New Mexico,M,棕色,夏,4.2,是,次日达,是,35,借记卡,双周,中年,14,忠实客户
56,40,男,夹克,外套,28,South Carolina,M,薰衣草紫,冬,3.0,是,两日达,是,49,信用卡,每年,成年,365,忠实客户
57,41,男,双肩包,配饰,73,Mississippi,XL,棕色,夏,4.7,是,门店自提,是,46,信用卡,每周,成年,7,忠实客户
58,21,男,大衣,外套,64,West Virginia,M,白色,夏,4.4,是,门店自提,是,17,借记卡,每两周,青年,14,忠实客户
59,69,男,卫衣,服装,54,Missouri,M,炭灰色,夏,4.2,是,包邮,是,29,Venmo,每月,老年,30,忠实客户
60,63,男,腰带,配饰,79,Louisiana,L,黄色,春,4.6,是,标准快递,是,4,借记卡,每周,老年,7,回头客
61,50,男,毛衣,服装,37,Idaho,L,棕色,夏,4.0,是,快递,是,17,现金,每周,中年,7,忠实客户
62,55,男,围巾,配饰,68,Texas,M,橙色,冬,4.7,是,门店自提,是,21,信用卡,每三个月,中年,90,忠实客户
63,30,男,运动鞋,鞋履,21,Mississippi,S,品红色,春,3.8,是,包邮,是,31,信用卡,每两周,青年,14,忠实客户
64,33,男,太阳镜,配饰,79,Arizona,L,薰衣草紫,冬,2.7,是,两日达,是,43,信用卡,每周,成年,7,忠实客户
65,65,男,靴子,鞋履,83,Alabama,S,绿色,秋,4.8,是,标准快递,是,18,借记卡,每两周,老年,14,忠实客户
66,65,男,双肩包,配饰,36,New Jersey,M,紫色,春,4.8,是,两日达,是,44,Venmo,每三个月,老年,90,忠实客户
67,31,男,女式衬衫,服装,94,Pennsylvania,S,品红色,冬,4.7,是,两日达,是,3,Venmo,每三个月,青年,90,回头客
68,45,男,大衣,外套,33,Connecticut,L,灰色,冬,4.4,是,门店自提,是,49,借记卡,每月,中年,30,忠实客户
69,57,男,手提包,配饰,46,Utah,L,银色,夏,3.9,是,次日达,是,21,现金,每三个月,中年,90,忠实客户
70,48,男,腰带,配饰,70,Tennessee,S,青色,夏,4.4,是,快递,是,5,现金,每周,中年,7,回头客
71,22,男,腰带,配饰,29,Alabama,M,品红色,秋,4.2,是,快递,是,32,借记卡,每三个月,青年,90,忠实客户
72,36,男,连衣裙,服装,48,Virginia,L,金色,夏,2.9,是,快递,是,34,银行转账,每年,成年,365,忠实客户
73,18,男,连衣裙,服装,26,Georgia,M,橄榄绿,冬,2.9,是,门店自提,是,21,银行转账,每三个月,青年,90,忠实客户
74,48,男,长裤,服装,85,Hawaii,M,青绿色,春,2.7,是,包邮,是,43,银行转账,双周,中年,14,忠实客户
75,49,男,手套,配饰,58,Indiana,L,紫罗兰色,春,4.5,是,快递,是,3,现金,每月,中年,30,回头客
76,64,男,围巾,配饰,85,Utah,M,蓝色,夏,2.7,是,包邮,是,21,信用卡,每年,老年,365,忠实客户
77,50,男,帽子,配饰,43,Delaware,S,青绿色,夏,4.2,是,包邮,是,32,Venmo,每月,中年,30,忠实客户
78,22,男,连衣裙,服装,53,Delaware,L,金色,夏,3.3,是,次日达,是,36,借记卡,每两周,青年,14,忠实客户
79,50,男,半身裙,服装,91,Nebraska,M,栗色,春,4.7,是,包邮,是,50,Venmo,每两周,中年,14,忠实客户
80,38,男,夹克,外套,96,Iowa,M,橄榄绿,冬,2.6,是,两日达,是,43,银行转账,每三个月,成年,90,忠实客户
81,19,男,凉鞋,鞋履,72,New York,XL,蓝色,夏,3.8,是,门店自提,是,24,信用卡,每三个月,青年,90,忠实客户
82,67,男,鞋子,鞋履,96,Virginia,L,栗色,夏,2.6,是,快递,是,36,信用卡,每三个月,老年,90,忠实客户
83,19,男,长裤,服装,28,Georgia,S,橄榄绿,春,4.0,是,两日达,是,21,信用卡,每三个月,青年,90,忠实客户
84,36,男,连衣裙,服装,40,Texas,M,绿松石色,夏,4.1,是,标准快递,是,34,银行转账,每周,成年,7,忠实客户
85,52,男,大衣,外套,32,Arizona,S,桃色,春,4.4,是,标准快递,是,42,银行转账,每三个月,中年,90,忠实客户
86,53,男,太阳镜,配饰,95,New Mexico,M,炭灰色,冬,4.5,是,次日达,是,2,借记卡,双周,中年,14,回头客
87,24,男,卫衣,服装,41,Nevada,L,粉色,春,3.7,是,两日达,是,47,现金,双周,青年,14,忠实客户
88,52,男,鞋子,鞋履,53,Ohio,M,绿色,秋,3.7,是,两日达,是,44,借记卡,每两周,中年,14,忠实客户
89,33,男,T恤,服装,47,Wyoming,M,橙色,秋,3.5,是,包邮,是,35,信用卡,每月,成年,30,忠实客户
90,47,男,夹克,外套,83,California,XL,粉色,秋,3.6,是,次日达,是,15,现金,每季,中年,90,忠实客户
91,25,男,帽子,配饰,48,South Carolina,L,紫罗兰色,夏,2.9,是,快递,是,29,信用卡,每月,青年,30,忠实客户
92,44,男,围巾,配饰,99,South Carolina,S,绿色,冬,4.6,是,标准快递,是,18,信用卡,每三个月,成年,90,忠实客户
93,61,男,夹克,外套,87,Texas,M,橄榄绿,冬,4.4,是,两日达,是,13,Venmo,每三个月,老年,90,忠实客户
94,37,男,毛衣,服装,62,Florida,M,紫色,秋,4.5,是,标准快递,是,46,信用卡,每周,成年,7,忠实客户
95,58,男,半身裙,服装,76,Nevada,S,银色,春,4.6,是,包邮,是,28,信用卡,每周,老年,7,忠实客户
96,37,男,运动鞋,鞋履,100,Missouri,L,粉色,秋,3.8,是,包邮,是,48,PayPal,每月,成年,30,忠实客户
97,32,男,手套,配饰,73,Delaware,S,金色,春,3.8,是,快递,是,43,Venmo,每三个月,成年,90,忠实客户
98,21,男,鞋子,鞋履,92,Virginia,M,青绿色,冬,4.8,是,门店自提,是,37,现金,每年,青年,365,忠实客户
99,20,男,牛仔裤,服装,67,New York,XL,青绿色,春,2.6,是,次日达,是,20,银行转账,每年,青年,365,忠实客户
100,26,男,卫衣,服装,40,Missouri,XL,靛蓝色,夏,3.7,是,快递,是,33,借记卡,每季,青年,90,忠实客户
101,62,男,太阳镜,配饰,98,South Dakota,M,栗色,秋,2.7,是,快递,是,31,现金,每两周,老年,14,忠实客户
102,27,男,大衣,外套,85,North Dakota,XL,白色,春,4.6,是,快递,是,50,信用卡,双周,青年,14,忠实客户
103,51,男,袜子,服装,67,Oklahoma,L,紫罗兰色,冬,4.8,是,次日达,是,35,信用卡,每季,中年,90,忠实客户
104,54,男,靴子,鞋履,89,West Virginia,L,红色,冬,4.0,是,次日达,是,22,Venmo,双周,中年,14,忠实客户
105,55,男,太阳镜,配饰,24,New Hampshire,L,粉色,春,4.4,是,两日达,是,1,PayPal,每月,中年,30,新客户
106,69,男,双肩包,配饰,96,New York,M,炭灰色,秋,3.6,是,次日达,是,4,银行转账,每年,老年,365,回头客
107,64,男,夹克,外套,35,Minnesota,L,白色,夏,3.7,是,标准快递,是,31,信用卡,每月,老年,30,忠实客户
108,28,男,运动鞋,鞋履,67,Maryland,L,橄榄绿,冬,3.1,是,次日达,是,46,PayPal,每两周,青年,14,忠实客户
109,70,男,袜子,服装,79,Montana,L,紫色,春,3.4,是,次日达,是,32,银行转账,双周,老年,14,忠实客户
110,58,男,T恤,服装,85,Alabama,M,紫罗兰色,春,2.6,是,次日达,是,43,银行转账,每两周,老年,14,忠实客户
111,56,男,双肩包,配饰,26,New York,M,黑色,夏,4.0,是,标准快递,是,26,Venmo,每两周,中年,14,忠实客户
112,26,男,腰带,配饰,75,Massachusetts,L,紫色,夏,5.0,是,包邮,是,9,信用卡,每年,青年,365,回头客
113,37,男,手套,配饰,65,Florida,M,红色,春,4.3,是,包邮,是,28,PayPal,双周,成年,14,忠实客户
114,44,男,帽子,配饰,54,New Jersey,L,栗色,冬,3.1,是,次日达,是,20,PayPal,每季,成年,90,忠实客户
115,70,男,大衣,外套,95,Massachusetts,S,蓝色,夏,3.7,是,门店自提,是,9,现金,每周,老年,7,回头客
116,53,男,半身裙,服装,94,Wyoming,M,灰色,春,3.8,是,标准快递,是,48,借记卡,每三个月,中年,90,忠实客户
117,55,男,鞋子,鞋履,86,Virginia,S,蓝色,春,3.4,是,包邮,是,12,Venmo,每年,中年,365,忠实客户
118,50,男,凉鞋,鞋履,32,South Dakota,L,黄色,夏,4.6,是,快递,是,29,现金,每两周,中年,14,忠实客户
119,50,男,毛衣,服装,45,Kentucky,L,橙色,秋,4.8,是,两日达,是,27,现金,双周,中年,14,忠实客户
120,38,男,大衣,外套,76,Wyoming,M,橙色,秋,4.3,是,快递,是,44,现金,每年,成年,365,忠实客户
121,64,男,帽子,配饰,84,West Virginia,L,红色,夏,4.0,是,快递,是,32,银行转账,每年,老年,365,忠实客户
122,19,男,短裤,服装,72,Virginia,M,橄榄绿,冬,4.2,是,标准快递,是,11,现金,每两周,青年,14,忠实客户
123,40,男,双肩包,配饰,40,Washington,L,棕色,春,4.8,是,两日达,是,44,现金,每两周,成年,14,忠实客户
124,57,男,毛衣,服装,89,Louisiana,L,棕色,秋,3.1,是,包邮,是,46,现金,每周,中年,7,忠实客户
125,44,男,毛衣,服装,86,Nevada,M,灰色,春,3.1,是,次日达,是,50,PayPal,每年,成年,365,忠实客户
126,49,男,短裤,服装,54,California,M,靛蓝色,冬,3.6,是,次日达,是,45,Venmo,每三个月,中年,90,忠实客户
127,43,男,短裤,服装,36,Mississippi,L,粉色,春,3.9,是,门店自提,是,48,现金,每三个月,成年,90,忠实客户
128,24,男,毛衣,服装,89,Mississippi,M,灰色,冬,4.8,是,次日达,是,26,信用卡,每周,青年,7,忠实客户
129,20,男,围巾,配饰,32,California,M,金色,春,4.7,是,标准快递,是,21,信用卡,每两周,青年,14,忠实客户
130,24,男,连衣裙,服装,67,Pennsylvania,XL,橄榄绿,夏,4.2,是,两日达,是,49,PayPal,双周,青年,14,忠实客户
131,44,男,围巾,配饰,39,Kentucky,L,紫罗兰色,秋,3.7,是,次日达,是,13,PayPal,每两周,成年,14,忠实客户
132,28,男,半身裙,服装,29,Maine,L,靛蓝色,夏,3.9,是,标准快递,是,46,信用卡,每周,青年,7,忠实客户
133,30,男,双肩包,配饰,58,New Mexico,M,橙色,秋,4.7,是,两日达,是,42,PayPal,每周,青年,7,忠实客户
134,52,男,毛衣,服装,65,Montana,M,紫罗兰色,冬,2.5,是,次日达,是,25,Venmo,每年,中年,365,忠实客户
135,43,男,帽子,配饰,94,Texas,L,灰色,秋,4.9,是,门店自提,是,25,现金,每月,成年,30,忠实客户
136,43,男,凉鞋,鞋履,81,Kansas,M,紫色,秋,4.1,是,快递,是,12,PayPal,每季,成年,90,忠实客户
137,39,男,女式衬衫,服装,86,South Carolina,M,白色,冬,3.3,是,包邮,是,4,借记卡,每季,成年,90,回头客
138,68,男,运动鞋,鞋履,43,Colorado,M,绿松石色,春,4.7,是,包邮,是,38,PayPal,每周,老年,7,忠实客户
139,68,男,半身裙,服装,29,Georgia,M,栗色,冬,4.4,是,门店自提,是,42,银行转账,每周,老年,7,忠实客户
140,49,男,大衣,外套,95,Florida,M,白色,秋,3.8,是,门店自提,是,30,Venmo,每年,中年,365,忠实客户
141,63,男,衬衫,服装,28,North Carolina,L,黄色,秋,3.9,是,两日达,是,50,信用卡,每周,老年,7,忠实客户
142,56,男,手套,配饰,46,Virginia,M,绿松石色,秋,4.9,是,包邮,是,45,PayPal,每周,中年,7,忠实客户
143,37,男,夹克,外套,58,Nebraska,L,紫罗兰色,秋,3.1,是,包邮,是,33,信用卡,每两周,成年,14,忠实客户
144,30,男,大衣,外套,48,Missouri,M,米色,秋,2.7,是,门店自提,是,25,PayPal,每季,青年,90,忠实客户
145,19,男,鞋子,鞋履,43,New Jersey,M,银色,秋,3.2,是,快递,是,25,现金,每月,青年,30,忠实客户
146,24,男,首饰,配饰,95,Missouri,M,青绿色,秋,4.5,是,标准快递,是,44,借记卡,每季,青年,90,忠实客户
147,52,男,半身裙,服装,30,Colorado,S,黑色,秋,4.0,是,标准快递,是,21,Venmo,每两周,中年,14,忠实客户
148,63,男,鞋子,鞋履,64,Idaho,M,紫色,夏,3.5,是,两日达,是,31,银行转账,每两周,老年,14,忠实客户
149,37,男,手套,配饰,90,Wyoming,M,灰色,秋,2.6,是,门店自提,是,47,借记卡,每年,成年,365,忠实客户
150,38,男,长裤,服装,76,Delaware,M,白色,夏,3.2,是,包邮,是,14,PayPal,每月,成年,30,忠实客户
151,35,男,靴子,鞋履,96,California,L,青色,秋,4.9,是,标准快递,是,17,借记卡,每三个月,成年,90,忠实客户
152,28,男,太阳镜,配饰,47,North Dakota,L,绿松石色,秋,4.5,是,次日达,是,3,Venmo,每年,青年,365,回头客
153,30,男,衬衫,服装,85,South Carolina,S,棕色,夏,4.3,是,快递,是,42,Venmo,每年,青年,365,忠实客户
154,69,男,卫衣,服装,55,North Carolina,M,栗色,冬,3.2,是,标准快递,是,22,借记卡,每年,老年,365,忠实客户
155,41,男,连衣裙,服装,98,Oklahoma,M,炭灰色,秋,3.6,是,次日达,是,21,Venmo,每季,成年,90,忠实客户
156,63,男,袜子,服装,77,Maine,S,橄榄绿,春,4.3,是,包邮,是,21,银行转账,每季,老年,90,忠实客户
157,35,男,短裤,服装,26,Missouri,M,薰衣草紫,秋,4.0,是,标准快递,是,40,借记卡,每年,成年,365,忠实客户
158,36,男,帽子,配饰,68,Vermont,S,黄色,秋,3.0,是,次日达,是,1,银行转账,每两周,成年,14,新客户
159,25,男,衬衫,服装,73,Connecticut,XL,青绿色,秋,4.1,是,标准快递,是,50,银行转账,每月,青年,30,忠实客户
160,58,男,手套,配饰,27,New Hampshire,M,炭灰色,秋,3.8,是,门店自提,是,39,银行转账,每三个月,老年,90,忠实客户
161,27,男,手套,配饰,23,Texas,M,橙色,夏,4.6,是,包邮,是,34,Venmo,每月,青年,30,忠实客户
162,65,男,双肩包,配饰,49,North Dakota,M,橄榄绿,秋,3.0,是,快递,是,29,Venmo,每两周,老年,14,忠实客户
163,54,男,太阳镜,配饰,74,California,M,绿松石色,夏,3.0,是,门店自提,是,31,PayPal,双周,中年,14,忠实客户
164,54,男,半身裙,服装,67,Virginia,M,紫色,夏,3.4,是,标准快递,是,8,借记卡,每周,中年,7,回头客
165,59,男,手提包,配饰,65,Delaware,S,紫色,春,2.6,是,包邮,是,5,信用卡,每两周,老年,14,回头客
166,42,男,手提包,配饰,60,Kentucky,S,黄色,冬,2.8,是,门店自提,是,7,现金,每月,成年,30,回头客
167,46,男,运动鞋,鞋履,31,Delaware,XL,靛蓝色,秋,4.0,是,门店自提,是,30,现金,每月,中年,30,忠实客户
168,33,男,手套,配饰,27,Arkansas,M,绿色,秋,4.0,是,快递,是,14,信用卡,每三个月,成年,90,忠实客户
169,34,男,鞋子,鞋履,80,Louisiana,M,品红色,夏,3.0,是,快递,是,5,现金,每两周,成年,14,回头客
170,27,男,夹克,外套,30,Nevada,S,金色,夏,3.3,是,标准快递,是,3,PayPal,每三个月,青年,90,回头客
171,52,男,衬衫,服装,25,Wyoming,M,栗色,秋,2.6,是,门店自提,是,46,Venmo,双周,中年,14,忠实客户
172,29,男,短裤,服装,35,Virginia,M,蓝色,夏,3.6,是,门店自提,是,4,信用卡,每周,青年,7,回头客
173,54,男,首饰,配饰,67,Nebraska,M,紫罗兰色,夏,3.9,是,次日达,是,42,信用卡,双周,中年,14,忠实客户
174,25,男,帽子,配饰,46,Hawaii,M,绿松石色,秋,3.4,是,标准快递,是,30,现金,每年,青年,365,忠实客户
175,41,男,鞋子,鞋履,35,Vermont,L,棕色,冬,3.5,是,快递,是,37,Venmo,每年,成年,365,忠实客户
176,53,男,大衣,外套,86,Oklahoma,L,紫罗兰色,秋,2.8,是,次日达,是,2,银行转账,每年,中年,365,回头客
177,53,男,双肩包,配饰,81,New Hampshire,L,黑色,春,2.7,是,次日达,是,30,信用卡,每季,中年,90,忠实客户
178,21,男,卫衣,服装,42,Kansas,L,品红色,秋,3.7,是,次日达,是,47,银行转账,每月,青年,30,忠实客户
179,61,男,半身裙,服装,43,Idaho,L,薰衣草紫,秋,4.3,是,两日达,是,21,PayPal,每季,老年,90,忠实客户
180,64,男,靴子,鞋履,31,Illinois,M,紫罗兰色,秋,4.9,是,门店自提,是,9,银行转账,每两周,老年,14,回头客
181,51,男,凉鞋,鞋履,81,South Dakota,L,绿色,秋,3.3,是,门店自提,是,12,借记卡,每两周,中年,14,忠实客户
182,32,男,长裤,服装,61,Massachusetts,M,米色,夏,4.7,是,次日达,是,4,银行转账,每周,成年,7,回头客
183,38,男,手套,配饰,96,Alabama,XL,紫色,夏,2.8,是,门店自提,是,10,借记卡,每年,成年,365,回头客
184,58,男,半身裙,服装,29,Ohio,XL,米色,春,3.6,是,两日达,是,26,信用卡,每周,老年,7,忠实客户
185,32,男,运动鞋,鞋履,33,Hawaii,L,青色,春,3.0,是,快递,是,40,现金,每两周,成年,14,忠实客户
186,46,男,T恤,服装,32,Wisconsin,XL,银色,夏,4.5,是,门店自提,是,34,银行转账,每两周,中年,14,忠实客户
187,39,男,双肩包,配饰,56,Minnesota,S,薰衣草紫,夏,2.9,是,标准快递,是,31,借记卡,每年,成年,365,忠实客户
188,19,男,鞋子,鞋履,94,Georgia,S,紫色,春,3.3,是,门店自提,是,1,银行转账,双周,青年,14,新客户
189,50,男,卫衣,服装,53,Arkansas,M,粉色,春,3.1,是,快递,是,5,银行转账,双周,中年,14,回头客
190,36,男,女式衬衫,服装,82,West Virginia,M,栗色,秋,4.4,是,次日达,是,4,信用卡,每周,成年,7,回头客
191,65,男,大衣,外套,70,Indiana,XL,米色,秋,3.0,是,包邮,是,48,Venmo,每季,老年,90,忠实客户
192,64,男,帽子,配饰,76,Utah,M,灰色,秋,3.9,是,包邮,是,29,现金,每三个月,老年,90,忠实客户
193,46,男,鞋子,鞋履,29,Nebraska,L,绿松石色,夏,2.9,是,快递,是,12,PayPal,双周,中年,14,忠实客户
194,36,男,腰带,配饰,100,North Dakota,S,银色,秋,3.0,是,标准快递,是,29,Venmo,每年,成年,365,忠实客户
195,51,男,双肩包,配饰,94,Missouri,M,橄榄绿,春,3.1,是,快递,是,15,借记卡,每季,中年,90,忠实客户
196,51,男,夹克,外套,25,New York,M,品红色,秋,4.3,是,包邮,是,34,信用卡,每月,中年,30,忠实客户
197,38,男,靴子,鞋履,88,Washington,M,薰衣草紫,夏,3.9,是,次日达,是,41,信用卡,每两周,成年,14,忠实客户
198,59,男,围巾,配饰,78,South Carolina,M,黑色,秋,3.2,是,两日达,是,41,信用卡,每月,老年,30,忠实客户
199,57,男,首饰,配饰,45,Utah,M,绿松石色,冬,4.8,是,标准快递,是,39,信用卡,每两周,中年,14,忠实客户
200,54,男,帽子,配饰,73,Idaho,XL,绿色,夏,3.8,是,快递,是,32,现金,每周,中年,7,忠实客户
201,25,男,连衣裙,服装,61,Pennsylvania,S,青绿色,夏,3.3,是,次日达,是,29,Venmo,每月,青年,30,忠实客户
202,69,男,女式衬衫,服装,22,Missouri,S,米色,秋,4.3,是,包邮,是,15,银行转账,每年,老年,365,忠实客户
203,57,男,帽子,配饰,38,Nebraska,L,品红色,春,2.7,是,快递,是,33,Venmo,每年,中年,365,忠实客户
204,70,男,围巾,配饰,38,Indiana,S,黄色,秋,3.2,是,次日达,是,18,银行转账,每周,老年,7,忠实客户
205,24,男,运动鞋,鞋履,100,Arizona,M,黄色,秋,4.0,是,门店自提,是,35,现金,双周,青年,14,忠实客户
206,67,男,衬衫,服装,64,Hawaii,M,银色,冬,3.0,是,标准快递,是,25,PayPal,每周,老年,7,忠实客户
207,24,男,T恤,服装,55,Wisconsin,L,银色,夏,4.2,是,包邮,是,6,Venmo,每两周,青年,14,回头客
208,62,男,手套,配饰,91,Rhode Island,M,银色,夏,2.9,是,快递,是,17,银行转账,双周,老年,14,忠实客户
209,57,男,半身裙,服装,38,Wisconsin,M,金色,春,4.1,是,门店自提,是,17,信用卡,每月,中年,30,忠实客户
210,55,男,凉鞋,鞋履,97,Minnesota,S,橄榄绿,冬,3.2,是,门店自提,是,44,现金,每三个月,中年,90,忠实客户
211,45,男,夹克,外套,22,Vermont,L,青绿色,秋,3.0,是,两日达,是,6,PayPal,每两周,中年,14,回头客
212,69,男,半身裙,服装,92,South Dakota,L,栗色,秋,4.2,是,两日达,是,45,借记卡,每两周,老年,14,忠实客户
213,67,男,手提包,配饰,84,Virginia,L,蓝色,秋,4.2,是,快递,是,7,借记卡,每年,老年,365,回头客
214,30,男,手提包,配饰,93,Nevada,L,桃色,秋,4.4,是,门店自提,是,11,借记卡,每三个月,青年,90,忠实客户
215,24,男,夹克,外套,50,Hawaii,L,蓝色,夏,4.2,是,次日达,是,41,现金,每三个月,青年,90,忠实客户
